title,tipo,ano,doi_id,file_bruto_name
Mestrado Nacional Profissional em Ensino de Física: uma história de sucesso; um futuro promissor,cartas ao editor,2022,10.1590/1806-9126-RBEF-2021-0392,0000.html
A equivalência entre o Princípio de Maximização de Entropia e o Princípio de Minimização de Energia,cartas ao editor,2022,10.1590/1806-9126-RBEF-2021-0407,0001.html
O impacto do MNPEF no desenvolvimento científico do Tocantins,cartas ao editor,2022,10.1590/1806-9126-RBEF-2022-0128,0002.html
Quebra espontânea de simetria e mecanismo de Higgs: uma abordagem a partir dos osciladores harmônico simples e anarmônico.,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0264,0003.html
Sombras de buracos negros: desvendando a física por detrás da imagem de M87,artigos gerais,2021,10.1590/1806-9126-RBEF-2020-0232,0004.html
A função relativística de distribuição de velocidades de Maxwell-Jüttner,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0271,0005.html
Revisitando o Experimento de Eratóstenes: medida do raio de Terra,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0354,0006.html
Matriz de referência como instrumento de apoio ao professor na condução do ensino de mecânica quântica para a licenciatura em física,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0041,0007.html
Algoritmos quânticos com IBMQ Experience: Algoritmo de Deutsch-Jozsa,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0333,0008.html
Modelos de polímeros utilizando o Hamiltoniano de tight-binding,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0341,0009.html
Assimetria matéria-antimatéria – a violação de CP em interações fortes e fracas,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0303,0010.html
Resolvendo numericamente equações diferenciais fracionárias,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0426,0011.html
Distribuições de probabilidade,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0424,0012.html
Fourier revisitado: um modelo simplificado para o efeito estufa,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0103,0013.html
"Sobre vagalumes, pedestres e neurônios: a sincronização de osciladores de fase",artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0368,0014.html
"Determinação de características mecânicas de folhas de papel utilizando a técnica de tomografia por coerência óptica, e suas aplicações na área forense",artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0394,0015.html
Modelo analítico para instrumentos musicais de cordas dedilhadas,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0399,0016.html
Algoritmos Quânticos usando o Qiskit: Uma abordagem para o ensino de informação e computação quântica,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0290,0017.html
Espalhamento elétron-pósitron,artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0338,0018.html
Yang-Mills-Shaw e as equações de Maxwell não-Abelianas,artigos gerais,2022,10.1590/1806-9126-RBEF-2022-0045,0019.html
A degenerescência do gás de elétrons e sua importância em Astrofísica,artigos gerais,2022,10.1590/1806-9126-RBEF-2022-0002,0020.html
David Bohm e a Mecânica Quântica: o Todo e o Indiviso,artigos gerais,2022,10.1590/1806-9126-RBEF-2022-0102,0021.html
Ondas gravitacionais de buracos negros coalescentes: um estudo quantitativo a partir de física básica,artigos gerais,2022,10.1590/1806-9126-RBEF-2022-0004,0022.html
Pequena introdução a QFT,artigos gerais,2022,10.1590/1806-9126-RBEF-2022-0029,0023.html
"Fotografias de Io, seu diâmetro e sua distância de Júpiter",artigos gerais,2022,10.1590/1806-9126-RBEF-2022-0023,0024.html
"Teoria da medida, decoerência e a interpretação de Montevidéu da mecânica quântica",artigos gerais,2022,10.1590/1806-9126-RBEF-2021-0384,0025.html
O elemento tubo na fundamentação do conceito de campo,artigos gerais,2022,10.1590/1806-9126-RBEF-2022-0081,0026.html
